institution_type,program,level,year,approved_intake,enrolled,passed,placed,institutions,girls,boys
Private,Engineering and Technology,UG,2012-13,,,,,0,,
Private,Engineering and Technology,UG,2013-14,,,,,0,,
Private,Engineering and Technology,UG,2014-15,,,,,0,,
Private,Engineering and Technology,UG,2015-16,,,,,0,,
Private,Engineering and Technology,UG,2016-17,,,,,0,,
Private,Engineering and Technology,UG,2017-18,,,,,0,,
Private,Engineering and Technology,UG,2018-19,,,,,0,,
Private,Engineering and Technology,UG,2019-20,,,,,0,,
Private,Engineering and Technology,UG,2020-21,,,,,0,,
Private,Engineering and Technology,UG,2021-22,,,,,0,,
Private,Engineering and Technology,UG,2022-23,,,,,0,,
Private,Engineering and Technology,PG,2012-13,,,,,0,,
Private,Engineering and Technology,PG,2013-14,,,,,0,,
Private,Engineering and Technology,PG,2014-15,,,,,0,,
Private,Engineering and Technology,PG,2015-16,,,,,0,,
Private,Engineering and Technology,PG,2016-17,,,,,0,,
Private,Engineering and Technology,PG,2017-18,,,,,0,,
Private,Engineering and Technology,PG,2018-19,,,,,0,,
Private,Engineering and Technology,PG,2019-20,,,,,0,,
Private,Engineering and Technology,PG,2020-21,,,,,0,,
Private,Engineering and Technology,PG,2021-22,,,,,0,,
Private,Engineering and Technology,PG,2022-23,,,,,0,,
Private,Engineering and Technology,DIPLOMA,2012-13,,,,,0,,
Private,Engineering and Technology,DIPLOMA,2013-14,,,,,0,,
Private,Engineering and Technology,DIPLOMA,2014-15,,,,,0,,
Private,Engineering and Technology,DIPLOMA,2015-16,,,,,0,,
Private,Engineering and Technology,DIPLOMA,2016-17,,,,,0,,
Private,Engineering and Technology,DIPLOMA,2017-18,,,,,0,,
Private,Engineering and Technology,DIPLOMA,2018-19,,,,,0,,
Private,Engineering and Technology,DIPLOMA,2019-20,,,,,0,,
Private,Engineering and Technology,DIPLOMA,2020-21,,,,,0,,
Private,Engineering and Technology,DIPLOMA,2021-22,,,,,0,,
Private,Engineering and Technology,DIPLOMA,2022-23,,,,,0,,
Private,Management,PG,2012-13,,,,,0,,
Private,Management,PG,2013-14,,,,,0,,
Private,Management,PG,2014-15,,,,,0,,
Private,Management,PG,2015-16,,,,,0,,
Private,Management,PG,2016-17,,,,,0,,
Private,Management,PG,2017-18,,,,,0,,
Private,Management,PG,2018-19,,,,,0,,
Private,Management,PG,2019-20,,,,,0,,
Private,Management,PG,2020-21,,,,,0,,
Private,Management,PG,2021-22,,,,,0,,
Private,Management,PG,2022-23,,,,,0,,
Private,MCA,PG,2012-13,,,,,0,,
Private,MCA,PG,2013-14,,,,,0,,
Private,MCA,PG,2014-15,,,,,0,,
Private,MCA,PG,2015-16,,,,,0,,
Private,MCA,PG,2016-17,,,,,0,,
Private,MCA,PG,2017-18,,,,,0,,
Private,MCA,PG,2018-19,,,,,0,,
Private,MCA,PG,2019-20,,,,,0,,
Private,MCA,PG,2020-21,,,,,0,,
Private,MCA,PG,2021-22,,,,,0,,
Private,MCA,PG,2022-23,,,,,0,,
Private,Pharmacy,UG,2012-13,,,,,0,,
Private,Pharmacy,UG,2013-14,,,,,0,,
Private,Pharmacy,UG,2014-15,,,,,0,,
Private,Pharmacy,UG,2015-16,,,,,0,,
Private,Pharmacy,UG,2016-17,,,,,0,,
Private,Pharmacy,UG,2017-18,,,,,0,,
Private,Pharmacy,UG,2018-19,,,,,0,,
Private,Pharmacy,UG,2019-20,,,,,0,,
Private,Pharmacy,UG,2020-21,,,,,0,,
Private,Pharmacy,UG,2021-22,,,,,0,,
Private,Pharmacy,UG,2022-23,,,,,0,,
Private,Architecture,UG,2012-13,,,,,0,,
Private,Architecture,UG,2013-14,,,,,0,,
Private,Architecture,UG,2014-15,,,,,0,,
Private,Architecture,UG,2015-16,,,,,0,,
Private,Architecture,UG,2016-17,,,,,0,,
Private,Architecture,UG,2017-18,,,,,0,,
Private,Architecture,UG,2018-19,,,,,0,,
Private,Architecture,UG,2019-20,,,,,0,,
Private,Architecture,UG,2020-21,,,,,0,,
Private,Architecture,UG,2021-22,,,,,0,,
Private,Architecture,UG,2022-23,,,,,0,,
Private,Hotel Management and Catering,UG,2012-13,,,,,0,,
Private,Hotel Management and Catering,UG,2013-14,,,,,0,,
Private,Hotel Management and Catering,UG,2014-15,,,,,0,,
Private,Hotel Management and Catering,UG,2015-16,,,,,0,,
Private,Hotel Management and Catering,UG,2016-17,,,,,0,,
Private,Hotel Management and Catering,UG,2017-18,,,,,0,,
Private,Hotel Management and Catering,UG,2018-19,,,,,0,,
Private,Hotel Management and Catering,UG,2019-20,,,,,0,,
Private,Hotel Management and Catering,UG,2020-21,,,,,0,,
Private,Hotel Management and Catering,UG,2021-22,,,,,0,,
Private,Hotel Management and Catering,UG,2022-23,,,,,0,,
Central University,Engineering and Technology,UG,2012-13,,,,,0,,
Central University,Engineering and Technology,UG,2013-14,240,65,66,0,1,,
Central University,Engineering and Technology,UG,2014-15,240,63,60,23,1,,
Central University,Engineering and Technology,UG,2015-16,1375,950,872,332,5,,
Central University,Engineering and Technology,UG,2016-17,1375,851,861,258,5,,
Central University,Engineering and Technology,UG,2017-18,1405,1080,505,281,6,,
Central University,Engineering and Technology,UG,2018-19,1420,1038,789,244,6,,
Central University,Engineering and Technology,UG,2019-20,970,1336,229,249,5,,
Central University,Engineering and Technology,UG,2020-21,1440,972,63,121,6,,
Central University,Engineering and Technology,UG,2021-22,1720,1623,562,345,7,274,1220
Central University,Engineering and Technology,UG,2022-23,3025,0,0,352,11,,
Central University,Engineering and Technology,PG,2012-13,,,,,0,,
Central University,Engineering and Technology,PG,2013-14,,,,,0,,
Central University,Engineering and Technology,PG,2014-15,36,35,29,14,2,,
Central University,Engineering and Technology,PG,2015-16,458,400,358,81,6,,
Central University,Engineering and Technology,PG,2016-17,484,371,332,129,7,,
Central University,Engineering and Technology,PG,2017-18,604,437,234,111,8,,
Central University,Engineering and Technology,PG,2018-19,654,448,370,74,9,,
Central University,Engineering and Technology,PG,2019-20,765,821,215,95,10,,
Central University,Engineering and Technology,PG,2020-21,823,549,134,112,9,,
Central University,Engineering and Technology,PG,2021-22,929,580,249,126,10,132,417
Central University,Engineering and Technology,PG,2022-23,1439,0,0,14,12,,
Central University,Engineering and Technology,DIPLOMA,2012-13,,,,,0,,
Central University,Engineering and Technology,DIPLOMA,2013-14,,,,,0,,
Central University,Engineering and Technology,DIPLOMA,2014-15,,,,,0,,
Central University,Engineering and Technology,DIPLOMA,2015-16,,,,,0,,
Central University,Engineering and Technology,DIPLOMA,2016-17,410,392,0,89,1,,
Central University,Engineering and Technology,DIPLOMA,2017-18,410,354,0,104,1,,
Central University,Engineering and Technology,DIPLOMA,2018-19,410,303,293,68,1,,
Central University,Engineering and Technology,DIPLOMA,2019-20,410,271,0,94,1,,
Central University,Engineering and Technology,DIPLOMA,2020-21,385,428,0,38,1,,
Central University,Engineering and Technology,DIPLOMA,2021-22,1045,521,292,99,4,41,471
Central University,Engineering and Technology,DIPLOMA,2022-23,1165,129,0,0,4,,
Central University,Management,PG,2012-13,,,,,0,,
Central University,Management,PG,2013-14,,,,,0,,
Central University,Management,PG,2014-15,100,70,69,33,2,,
Central University,Management,PG,2015-16,280,244,193,109,5,,
Central University,Management,PG,2016-17,280,210,189,105,5,,
Central University,Management,PG,2017-18,370,309,282,147,6,,
Central University,Management,PG,2018-19,430,329,270,171,7,,
Central University,Management,PG,2019-20,496,430,335,182,7,,
Central University,Management,PG,2020-21,546,421,122,147,7,,
Central University,Management,PG,2021-22,606,255,245,123,7,108,147
Central University,Management,PG,2022-23,766,56,0,12,8,,
Central University,MCA,PG,2012-13,,,,,0,,
Central University,MCA,PG,2013-14,,,,,0,,
Central University,MCA,PG,2014-15,,,,,0,,
Central University,MCA,PG,2015-16,40,38,38,29,1,,
Central University,MCA,PG,2016-17,40,43,38,22,1,,
Central University,MCA,PG,2017-18,40,42,43,22,1,,
Central University,MCA,PG,2018-19,40,56,45,22,1,,
Central University,MCA,PG,2019-20,86,81,54,40,2,,
Central University,MCA,PG,2020-21,86,25,45,45,2,,
Central University,MCA,PG,2021-22,116,67,137,100,3,7,27
Central University,MCA,PG,2022-23,250,0,0,0,5,,
Central University,Pharmacy,UG,2012-13,,,,,0,,
Central University,Pharmacy,UG,2013-14,60,52,44,0,1,,
Central University,Pharmacy,UG,2014-15,60,55,30,0,1,,
Central University,Pharmacy,UG,2015-16,60,58,41,4,1,,
Central University,Pharmacy,UG,2016-17,60,50,45,0,1,,
Central University,Pharmacy,UG,2017-18,160,119,60,0,2,,
Central University,Pharmacy,UG,2018-19,160,111,8,8,2,,
Central University,Pharmacy,UG,2019-20,160,123,83,28,2,,
Central University,Pharmacy,UG,2020-21,160,132,0,7,2,,
Central University,Pharmacy,UG,2021-22,160,121,53,15,2,50,66
Central University,Pharmacy,UG,2022-23,120,0,0,0,2,,
Central University,Architecture,UG,2012-13,,,,,0,,
Central University,Architecture,UG,2013-14,,,,,0,,
Central University,Architecture,UG,2014-15,,,,,0,,
