state,program,level,year,approved_intake,enrolled,passed,placed,institutions,girls,boys
Andaman and Nicobar Islands,Engineering and Technology,UG,2012-13,90,93,51,1,1,,
Andaman and Nicobar Islands,Engineering and Technology,UG,2013-14,90,94,78,2,1,,
Andaman and Nicobar Islands,Engineering and Technology,UG,2014-15,90,91,60,2,1,,
Andaman and Nicobar Islands,Engineering and Technology,UG,2015-16,90,98,61,16,1,,
Andaman and Nicobar Islands,Engineering and Technology,UG,2016-17,90,91,106,7,1,,
Andaman and Nicobar Islands,Engineering and Technology,UG,2017-18,90,93,199,11,1,,
Andaman and Nicobar Islands,Engineering and Technology,UG,2018-19,90,89,67,19,1,,
Andaman and Nicobar Islands,Engineering and Technology,UG,2019-20,90,109,0,23,1,,
Andaman and Nicobar Islands,Engineering and Technology,UG,2020-21,90,93,0,0,1,,
Andaman and Nicobar Islands,Engineering and Technology,UG,2021-22,90,97,0,1,1,28,69
Andaman and Nicobar Islands,Engineering and Technology,UG,2022-23,90,0,0,0,1,,
Andaman and Nicobar Islands,Engineering and Technology,PG,2012-13,,,,,0,,
Andaman and Nicobar Islands,Engineering and Technology,PG,2013-14,,,,,0,,
Andaman and Nicobar Islands,Engineering and Technology,PG,2014-15,,,,,0,,
Andaman and Nicobar Islands,Engineering and Technology,PG,2015-16,,,,,0,,
Andaman and Nicobar Islands,Engineering and Technology,PG,2016-17,,,,,0,,
Andaman and Nicobar Islands,Engineering and Technology,PG,2017-18,,,,,0,,
Andaman and Nicobar Islands,Engineering and Technology,PG,2018-19,,,,,0,,
Andaman and Nicobar Islands,Engineering and Technology,PG,2019-20,,,,,0,,
Andaman and Nicobar Islands,Engineering and Technology,PG,2020-21,,,,,0,,
Andaman and Nicobar Islands,Engineering and Technology,PG,2021-22,,,,,0,,
Andaman and Nicobar Islands,Engineering and Technology,PG,2022-23,,,,,0,,
Andaman and Nicobar Islands,Engineering and Technology,DIPLOMA,2012-13,270,273,70,0,1,,
Andaman and Nicobar Islands,Engineering and Technology,DIPLOMA,2013-14,270,304,65,4,1,,
Andaman and Nicobar Islands,Engineering and Technology,DIPLOMA,2014-15,270,292,59,8,1,,
Andaman and Nicobar Islands,Engineering and Technology,DIPLOMA,2015-16,270,293,112,15,1,,
Andaman and Nicobar Islands,Engineering and Technology,DIPLOMA,2016-17,270,266,122,46,1,,
Andaman and Nicobar Islands,Engineering and Technology,DIPLOMA,2017-18,420,401,250,64,1,,
Andaman and Nicobar Islands,Engineering and Technology,DIPLOMA,2018-19,480,461,123,55,2,,
Andaman and Nicobar Islands,Engineering and Technology,DIPLOMA,2019-20,420,340,0,4,2,,
Andaman and Nicobar Islands,Engineering and Technology,DIPLOMA,2020-21,420,232,0,0,2,,
Andaman and Nicobar Islands,Engineering and Technology,DIPLOMA,2021-22,408,134,0,14,2,38,96
Andaman and Nicobar Islands,Engineering and Technology,DIPLOMA,2022-23,408,0,0,0,2,,
Andaman and Nicobar Islands,Management,PG,2012-13,,,,,0,,
Andaman and Nicobar Islands,Management,PG,2013-14,,,,,0,,
Andaman and Nicobar Islands,Management,PG,2014-15,,,,,0,,
Andaman and Nicobar Islands,Management,PG,2015-16,,,,,0,,
Andaman and Nicobar Islands,Management,PG,2016-17,60,0,0,0,1,,
Andaman and Nicobar Islands,Management,PG,2017-18,,,,,0,,
Andaman and Nicobar Islands,Management,PG,2018-19,,,,,0,,
Andaman and Nicobar Islands,Management,PG,2019-20,,,,,0,,
Andaman and Nicobar Islands,Management,PG,2020-21,,,,,0,,
Andaman and Nicobar Islands,Management,PG,2021-22,,,,,0,,
Andaman and Nicobar Islands,Management,PG,2022-23,,,,,0,,
Andaman and Nicobar Islands,MCA,PG,2012-13,,,,,0,,
Andaman and Nicobar Islands,MCA,PG,2013-14,,,,,0,,
Andaman and Nicobar Islands,MCA,PG,2014-15,,,,,0,,
Andaman and Nicobar Islands,MCA,PG,2015-16,,,,,0,,
Andaman and Nicobar Islands,MCA,PG,2016-17,,,,,0,,
Andaman and Nicobar Islands,MCA,PG,2017-18,,,,,0,,
Andaman and Nicobar Islands,MCA,PG,2018-19,,,,,0,,
Andaman and Nicobar Islands,MCA,PG,2019-20,,,,,0,,
Andaman and Nicobar Islands,MCA,PG,2020-21,,,,,0,,
Andaman and Nicobar Islands,MCA,PG,2021-22,,,,,0,,
Andaman and Nicobar Islands,MCA,PG,2022-23,,,,,0,,
Andaman and Nicobar Islands,Pharmacy,UG,2012-13,,,,,0,,
Andaman and Nicobar Islands,Pharmacy,UG,2013-14,,,,,0,,
Andaman and Nicobar Islands,Pharmacy,UG,2014-15,,,,,0,,
Andaman and Nicobar Islands,Pharmacy,UG,2015-16,,,,,0,,
Andaman and Nicobar Islands,Pharmacy,UG,2016-17,,,,,0,,
Andaman and Nicobar Islands,Pharmacy,UG,2017-18,,,,,0,,
Andaman and Nicobar Islands,Pharmacy,UG,2018-19,,,,,0,,
Andaman and Nicobar Islands,Pharmacy,UG,2019-20,,,,,0,,
Andaman and Nicobar Islands,Pharmacy,UG,2020-21,,,,,0,,
Andaman and Nicobar Islands,Pharmacy,UG,2021-22,,,,,0,,
Andaman and Nicobar Islands,Pharmacy,UG,2022-23,,,,,0,,
