discipline,social_category,gender,out_turn
Agriculture,All Categories,Male,24857
Agriculture,All Categories,Female,7901
Agriculture,All Categories,Total,32758
Agriculture,Scheduled Caste,Male,3012
Agriculture,Scheduled Caste,Female,997
Agriculture,Scheduled Caste,Total,4009
Agriculture,Scheduled Tribe,Male,1113
Agriculture,Scheduled Tribe,Female,556
Agriculture,Scheduled Tribe,Total,1669
Agriculture,Other Backward Classes,Male,10591
Agriculture,Other Backward Classes,Female,2898
Agriculture,Other Backward Classes,Total,13489
Agriculture,Persons with Disability,Male,36
Agriculture,Persons with Disability,Female,8
Agriculture,Persons with Disability,Total,44
Agriculture,Muslim,Male,288
Agriculture,Muslim,Female,199
Agriculture,Muslim,Total,487
Agriculture,Other Minority Communities,Male,93
Agriculture,Other Minority Communities,Female,107
Agriculture,Other Minority Communities,Total,200
Agriculture,EWS,Male,194
Agriculture,EWS,Female,55
Agriculture,EWS,Total,249
Arts,All Categories,Male,1565228
Arts,All Categories,Female,1961569
Arts,All Categories,Total,3526797
Arts,Scheduled Caste,Male,245897
Arts,Scheduled Caste,Female,289418
Arts,Scheduled Caste,Total,535315
Arts,Scheduled Tribe,Male,127573
Arts,Scheduled Tribe,Female,152014
Arts,Scheduled Tribe,Total,279587
Arts,Other Backward Classes,Male,547600
Arts,Other Backward Classes,Female,669058
Arts,Other Backward Classes,Total,1216658
Arts,Persons with Disability,Male,1663
Arts,Persons with Disability,Female,1673
Arts,Persons with Disability,Total,3336
Arts,Muslim,Male,52778
Arts,Muslim,Female,81579
Arts,Muslim,Total,134357
Arts,Other Minority Communities,Male,14002
Arts,Other Minority Communities,Female,26465
Arts,Other Minority Communities,Total,40467
Arts,EWS,Male,9657
Arts,EWS,Female,11949
Arts,EWS,Total,21606
Commerce,All Categories,Male,626936
Commerce,All Categories,Female,690310
Commerce,All Categories,Total,1317246
Commerce,Scheduled Caste,Male,63091
Commerce,Scheduled Caste,Female,71550
Commerce,Scheduled Caste,Total,134641
Commerce,Scheduled Tribe,Male,22212
Commerce,Scheduled Tribe,Female,22158
Commerce,Scheduled Tribe,Total,44370
Commerce,Other Backward Classes,Male,205050
Commerce,Other Backward Classes,Female,245715
Commerce,Other Backward Classes,Total,450765
Commerce,Persons with Disability,Male,960
Commerce,Persons with Disability,Female,758
Commerce,Persons with Disability,Total,1718
Commerce,Muslim,Male,22676
Commerce,Muslim,Female,22537
Commerce,Muslim,Total,45213
Commerce,Other Minority Communities,Male,11918
Commerce,Other Minority Communities,Female,16531
Commerce,Other Minority Communities,Total,28449
Commerce,EWS,Male,4752
Commerce,EWS,Female,6277
Commerce,EWS,Total,11029
Design,All Categories,Male,3033
Design,All Categories,Female,5790
Design,All Categories,Total,8823
Design,Scheduled Caste,Male,163
Design,Scheduled Caste,Female,382
Design,Scheduled Caste,Total,545
Design,Scheduled Tribe,Male,72
Design,Scheduled Tribe,Female,137
Design,Scheduled Tribe,Total,209
Design,Other Backward Classes,Male,472
Design,Other Backward Classes,Female,697
Design,Other Backward Classes,Total,1169
Design,Persons with Disability,Male,8
Design,Persons with Disability,Female,22
Design,Persons with Disability,Total,30
Design,Muslim,Male,107
Design,Muslim,Female,100
Design,Muslim,Total,207
Design,Other Minority Communities,Male,83
Design,Other Minority Communities,Female,226
Design,Other Minority Communities,Total,309
Design,EWS,Male,20
Design,EWS,Female,24
Design,EWS,Total,44
Education,All Categories,Male,308508
Education,All Categories,Female,550771
Education,All Categories,Total,859279
Education,Scheduled Caste,Male,57455
Education,Scheduled Caste,Female,84902
Education,Scheduled Caste,Total,142357
Education,Scheduled Tribe,Male,25688
Education,Scheduled Tribe,Female,37010
Education,Scheduled Tribe,Total,62698
Education,Other Backward Classes,Male,109393
Education,Other Backward Classes,Female,191579
Education,Other Backward Classes,Total,300972
Education,Persons with Disability,Male,735
Education,Persons with Disability,Female,1148
