programme,social_category,gender,out_turn
Mechatronics,All Categories,Male,0
Mechatronics,All Categories,Female,0
Mechatronics,All Categories,Total,0
Mechatronics,Scheduled Caste,Male,0
Mechatronics,Scheduled Caste,Female,0
Mechatronics,Scheduled Caste,Total,0
Mechatronics,Scheduled Tribe,Male,0
Mechatronics,Scheduled Tribe,Female,0
Mechatronics,Scheduled Tribe,Total,0
Mechatronics,Other Backward Classes,Male,0
Mechatronics,Other Backward Classes,Female,0
Mechatronics,Other Backward Classes,Total,0
Mechatronics,Persons with Disability,Male,0
Mechatronics,Persons with Disability,Female,0
Mechatronics,Persons with Disability,Total,0
Mechatronics,Muslim,Male,0
Mechatronics,Muslim,Female,0
Mechatronics,Muslim,Total,0
Mechatronics,Other Minority Communities,Male,0
Mechatronics,Other Minority Communities,Female,0
Mechatronics,Other Minority Communities,Total,0
Mechatronics,EWS,Male,0
Mechatronics,EWS,Female,0
Mechatronics,EWS,Total,0
A.N.M.-Auxiliary Nurse & Midwife,All Categories,Male,457
A.N.M.-Auxiliary Nurse & Midwife,All Categories,Female,29464
A.N.M.-Auxiliary Nurse & Midwife,All Categories,Total,29921
A.N.M.-Auxiliary Nurse & Midwife,Scheduled Caste,Male,122
A.N.M.-Auxiliary Nurse & Midwife,Scheduled Caste,Female,8614
A.N.M.-Auxiliary Nurse & Midwife,Scheduled Caste,Total,8736
A.N.M.-Auxiliary Nurse & Midwife,Scheduled Tribe,Male,79
A.N.M.-Auxiliary Nurse & Midwife,Scheduled Tribe,Female,3596
A.N.M.-Auxiliary Nurse & Midwife,Scheduled Tribe,Total,3675
A.N.M.-Auxiliary Nurse & Midwife,Other Backward Classes,Male,62
A.N.M.-Auxiliary Nurse & Midwife,Other Backward Classes,Female,7998
A.N.M.-Auxiliary Nurse & Midwife,Other Backward Classes,Total,8060
A.N.M.-Auxiliary Nurse & Midwife,Persons with Disability,Male,0
A.N.M.-Auxiliary Nurse & Midwife,Persons with Disability,Female,153
A.N.M.-Auxiliary Nurse & Midwife,Persons with Disability,Total,153
A.N.M.-Auxiliary Nurse & Midwife,Muslim,Male,14
A.N.M.-Auxiliary Nurse & Midwife,Muslim,Female,413
A.N.M.-Auxiliary Nurse & Midwife,Muslim,Total,427
A.N.M.-Auxiliary Nurse & Midwife,Other Minority Communities,Male,3
A.N.M.-Auxiliary Nurse & Midwife,Other Minority Communities,Female,445
A.N.M.-Auxiliary Nurse & Midwife,Other Minority Communities,Total,448
A.N.M.-Auxiliary Nurse & Midwife,EWS,Male,0
A.N.M.-Auxiliary Nurse & Midwife,EWS,Female,358
A.N.M.-Auxiliary Nurse & Midwife,EWS,Total,358
Acharya-Acharya,All Categories,Male,5545
Acharya-Acharya,All Categories,Female,3349
Acharya-Acharya,All Categories,Total,8894
Acharya-Acharya,Scheduled Caste,Male,177
Acharya-Acharya,Scheduled Caste,Female,268
Acharya-Acharya,Scheduled Caste,Total,445
