state,level,gender,out_turn
A & N Islands,Ph.D.,Male,4
A & N Islands,Ph.D.,Female,4
A & N Islands,Ph.D.,Total,8
A & N Islands,M.Phil.,Male,0
A & N Islands,M.Phil.,Female,0
A & N Islands,M.Phil.,Total,0
A & N Islands,Post Graduate,Male,28
A & N Islands,Post Graduate,Female,124
A & N Islands,Post Graduate,Total,152
A & N Islands,Under Graduate,Male,509
A & N Islands,Under Graduate,Female,815
A & N Islands,Under Graduate,Total,1324
A & N Islands,PG Diploma,Male,0
A & N Islands,PG Diploma,Female,0
A & N Islands,PG Diploma,Total,0
A & N Islands,Diploma,Male,41
A & N Islands,Diploma,Female,31
A & N Islands,Diploma,Total,72
A & N Islands,Certificate,Male,25
A & N Islands,Certificate,Female,20
A & N Islands,Certificate,Total,45
A & N Islands,Integrated,Male,80
A & N Islands,Integrated,Female,55
A & N Islands,Integrated,Total,135
Andhra Pradesh,Ph.D.,Male,743
Andhra Pradesh,Ph.D.,Female,459
Andhra Pradesh,Ph.D.,Total,1202
Andhra Pradesh,M.Phil.,Male,0
Andhra Pradesh,M.Phil.,Female,0
Andhra Pradesh,M.Phil.,Total,0
Andhra Pradesh,Post Graduate,Male,35615
Andhra Pradesh,Post Graduate,Female,36878
Andhra Pradesh,Post Graduate,Total,72493
Andhra Pradesh,Under Graduate,Male,178254
Andhra Pradesh,Under Graduate,Female,176316
Andhra Pradesh,Under Graduate,Total,354570
Andhra Pradesh,PG Diploma,Male,566
Andhra Pradesh,PG Diploma,Female,550
Andhra Pradesh,PG Diploma,Total,1116
Andhra Pradesh,Diploma,Male,28406
Andhra Pradesh,Diploma,Female,18181
Andhra Pradesh,Diploma,Total,46587
Andhra Pradesh,Certificate,Male,120
Andhra Pradesh,Certificate,Female,171
Andhra Pradesh,Certificate,Total,291
Andhra Pradesh,Integrated,Male,979
Andhra Pradesh,Integrated,Female,623
Andhra Pradesh,Integrated,Total,1602
Arunachal Pradesh,Ph.D.,Male,24
Arunachal Pradesh,Ph.D.,Female,14
Arunachal Pradesh,Ph.D.,Total,38
Arunachal Pradesh,M.Phil.,Male,0
Arunachal Pradesh,M.Phil.,Female,0
Arunachal Pradesh,M.Phil.,Total,0
Arunachal Pradesh,Post Graduate,Male,1538
Arunachal Pradesh,Post Graduate,Female,1194
Arunachal Pradesh,Post Graduate,Total,2732
Arunachal Pradesh,Under Graduate,Male,4934
Arunachal Pradesh,Under Graduate,Female,4220
Arunachal Pradesh,Under Graduate,Total,9154
Arunachal Pradesh,PG Diploma,Male,82
Arunachal Pradesh,PG Diploma,Female,8
Arunachal Pradesh,PG Diploma,Total,90
Arunachal Pradesh,Diploma,Male,998
Arunachal Pradesh,Diploma,Female,939
Arunachal Pradesh,Diploma,Total,1937
Arunachal Pradesh,Certificate,Male,143
Arunachal Pradesh,Certificate,Female,104
