target_year,metric,discipline,gender,value_estimate,method,slope_per_year,base_year,base_year_value,years_extrapolated,growth_pct_total
2024-25,enrolment,Agriculture,Female,100575,linear fit on 3 years (2019-22),4160.5,2021-22,86630,3,16.1
2025-26,enrolment,Agriculture,Female,104736,linear fit on 3 years (2019-22),4160.5,2021-22,86630,4,20.9
2024-25,enrolment,Agriculture,Male,233403,linear fit on 3 years (2019-22),8117.5,2021-22,207749,3,12.3
2025-26,enrolment,Agriculture,Male,241520,linear fit on 3 years (2019-22),8117.5,2021-22,207749,4,16.3
2024-25,enrolment,Agriculture,Total,333978,linear fit on 3 years (2019-22),12278.0,2021-22,294379,3,13.5
2025-26,enrolment,Agriculture,Total,346256,linear fit on 3 years (2019-22),12278.0,2021-22,294379,4,17.6
2024-25,enrolment,Area Studies,Female,2203,linear fit on 3 years (2019-22),-6203.5,2021-22,21309,3,-89.7
2025-26,enrolment,Area Studies,Female,0,linear fit on 3 years (2019-22),-6203.5,2021-22,21309,4,-100.0
2024-25,enrolment,Area Studies,Male,4519,linear fit on 3 years (2019-22),-5050.0,2021-22,21010,3,-78.5
2025-26,enrolment,Area Studies,Male,0,linear fit on 3 years (2019-22),-5050.0,2021-22,21010,4,-100.0
2024-25,enrolment,Area Studies,Total,6722,linear fit on 3 years (2019-22),-11253.5,2021-22,42319,3,-84.1
2025-26,enrolment,Area Studies,Total,0,linear fit on 3 years (2019-22),-11253.5,2021-22,42319,4,-100.0
2024-25,enrolment,Arts,Female,6696369,linear fit on 3 years (2019-22),318280.5,2021-22,5744439,3,16.6
2025-26,enrolment,Arts,Female,7014650,linear fit on 3 years (2019-22),318280.5,2021-22,5744439,4,22.1
2024-25,enrolment,Arts,Male,7110940,linear fit on 3 years (2019-22),517797.0,2021-22,5583302,3,27.4
2025-26,enrolment,Arts,Male,7628737,linear fit on 3 years (2019-22),517797.0,2021-22,5583302,4,36.6
2024-25,enrolment,Arts,Total,13807309,linear fit on 3 years (2019-22),836077.5,2021-22,11327741,3,21.9
2025-26,enrolment,Arts,Total,14643386,linear fit on 3 years (2019-22),836077.5,2021-22,11327741,4,29.3
2024-25,enrolment,Commerce,Female,2165937,linear fit on 3 years (2019-22),24268.5,2021-22,2079354,3,4.2
2025-26,enrolment,Commerce,Female,2190206,linear fit on 3 years (2019-22),24268.5,2021-22,2079354,4,5.3
2024-25,enrolment,Commerce,Male,2622552,linear fit on 3 years (2019-22),98285.5,2021-22,2328882,3,12.6
2025-26,enrolment,Commerce,Male,2720837,linear fit on 3 years (2019-22),98285.5,2021-22,2328882,4,16.8
2024-25,enrolment,Commerce,Total,4788489,linear fit on 3 years (2019-22),122554.0,2021-22,4408236,3,8.6
2025-26,enrolment,Commerce,Total,4911043,linear fit on 3 years (2019-22),122554.0,2021-22,4408236,4,11.4
2024-25,enrolment,Criminology & Forensic Science,Female,1346,linear fit on 3 years (2019-22),45.5,2021-22,1409,3,-4.5
2025-26,enrolment,Criminology & Forensic Science,Female,1392,linear fit on 3 years (2019-22),45.5,2021-22,1409,4,-1.2
2024-25,enrolment,Criminology & Forensic Science,Male,1312,linear fit on 3 years (2019-22),129.0,2021-22,1102,3,19.0
2025-26,enrolment,Criminology & Forensic Science,Male,1441,linear fit on 3 years (2019-22),129.0,2021-22,1102,4,30.7
2024-25,enrolment,Criminology & Forensic Science,Total,2658,linear fit on 3 years (2019-22),174.5,2021-22,2511,3,5.8
2025-26,enrolment,Criminology & Forensic Science,Total,2832,linear fit on 3 years (2019-22),174.5,2021-22,2511,4,12.8
2024-25,enrolment,Cultural Studies,Female,446,linear fit on 3 years (2019-22),-1147.0,2021-22,3891,3,-88.5
2025-26,enrolment,Cultural Studies,Female,0,linear fit on 3 years (2019-22),-1147.0,2021-22,3891,4,-100.0
2024-25,enrolment,Cultural Studies,Male,466,linear fit on 3 years (2019-22),-796.5,2021-22,3175,3,-85.3
2025-26,enrolment,Cultural Studies,Male,0,linear fit on 3 years (2019-22),-796.5,2021-22,3175,4,-100.0
2024-25,enrolment,Cultural Studies,Total,912,linear fit on 3 years (2019-22),-1943.5,2021-22,7066,3,-87.1
2025-26,enrolment,Cultural Studies,Total,0,linear fit on 3 years (2019-22),-1943.5,2021-22,7066,4,-100.0
2024-25,enrolment,Defence Studies,Female,0,linear fit on 3 years (2019-22),-173.0,2021-22,311,3,-100.0
2025-26,enrolment,Defence Studies,Female,0,linear fit on 3 years (2019-22),-173.0,2021-22,311,4,-100.0
2024-25,enrolment,Defence Studies,Male,139,linear fit on 3 years (2019-22),-148.0,2021-22,559,3,-75.1
2025-26,enrolment,Defence Studies,Male,0,linear fit on 3 years (2019-22),-148.0,2021-22,559,4,-100.0
2024-25,enrolment,Defence Studies,Total,0,linear fit on 3 years (2019-22),-321.0,2021-22,870,3,-100.0
2025-26,enrolment,Defence Studies,Total,0,linear fit on 3 years (2019-22),-321.0,2021-22,870,4,-100.0
2024-25,enrolment,Design,Female,49136,linear fit on 3 years (2019-22),5626.5,2021-22,31494,3,56.0
2025-26,enrolment,Design,Female,54763,linear fit on 3 years (2019-22),5626.5,2021-22,31494,4,73.9
2024-25,enrolment,Design,Male,22104,linear fit on 3 years (2019-22),2624.5,2021-22,13819,3,60.0
2025-26,enrolment,Design,Male,24729,linear fit on 3 years (2019-22),2624.5,2021-22,13819,4,78.9
2024-25,enrolment,Design,Total,71241,linear fit on 3 years (2019-22),8251.0,2021-22,45313,3,57.2
2025-26,enrolment,Design,Total,79492,linear fit on 3 years (2019-22),8251.0,2021-22,45313,4,75.4
2024-25,enrolment,Education,Female,1104922,linear fit on 3 years (2019-22),12967.5,2021-22,1072393,3,3.0
2025-26,enrolment,Education,Female,1117890,linear fit on 3 years (2019-22),12967.5,2021-22,1072393,4,4.2
2024-25,enrolment,Education,Male,745253,linear fit on 3 years (2019-22),33304.0,2021-22,646915,3,15.2
2025-26,enrolment,Education,Male,778557,linear fit on 3 years (2019-22),33304.0,2021-22,646915,4,20.3
2024-25,enrolment,Education,Total,1850175,linear fit on 3 years (2019-22),46271.5,2021-22,1719308,3,7.6
2025-26,enrolment,Education,Total,1896446,linear fit on 3 years (2019-22),46271.5,2021-22,1719308,4,10.3
2024-25,enrolment,Engineering & Technology,Female,1196123,linear fit on 3 years (2019-22),24359.5,2021-22,1137819,3,5.1
2025-26,enrolment,Engineering & Technology,Female,1220482,linear fit on 3 years (2019-22),24359.5,2021-22,1137819,4,7.3
2024-25,enrolment,Engineering & Technology,Male,2931203,linear fit on 3 years (2019-22),64306.0,2021-22,2766697,3,5.9
2025-26,enrolment,Engineering & Technology,Male,2995509,linear fit on 3 years (2019-22),64306.0,2021-22,2766697,4,8.3
2024-25,enrolment,Engineering & Technology,Total,4127326,linear fit on 3 years (2019-22),88665.5,2021-22,3904516,3,5.7
2025-26,enrolment,Engineering & Technology,Total,4215992,linear fit on 3 years (2019-22),88665.5,2021-22,3904516,4,8.0
2024-25,enrolment,Fashion Technology,Female,9750,linear fit on 3 years (2019-22),-1362.0,2021-22,14284,3,-31.7
2025-26,enrolment,Fashion Technology,Female,8388,linear fit on 3 years (2019-22),-1362.0,2021-22,14284,4,-41.3
2024-25,enrolment,Fashion Technology,Male,3179,linear fit on 3 years (2019-22),-296.0,2021-22,4362,3,-27.1
2025-26,enrolment,Fashion Technology,Male,2883,linear fit on 3 years (2019-22),-296.0,2021-22,4362,4,-33.9
2024-25,enrolment,Fashion Technology,Total,12929,linear fit on 3 years (2019-22),-1658.0,2021-22,18646,3,-30.7
2025-26,enrolment,Fashion Technology,Total,11271,linear fit on 3 years (2019-22),-1658.0,2021-22,18646,4,-39.6
2024-25,enrolment,Fine Arts,Female,22254,linear fit on 3 years (2019-22),-982.0,2021-22,25920,3,-14.1
2025-26,enrolment,Fine Arts,Female,21272,linear fit on 3 years (2019-22),-982.0,2021-22,25920,4,-17.9
2024-25,enrolment,Fine Arts,Male,18285,linear fit on 3 years (2019-22),-1676.0,2021-22,23897,3,-23.5
2025-26,enrolment,Fine Arts,Male,16609,linear fit on 3 years (2019-22),-1676.0,2021-22,23897,4,-30.5
2024-25,enrolment,Fine Arts,Total,40539,linear fit on 3 years (2019-22),-2658.0,2021-22,49817,3,-18.6
2025-26,enrolment,Fine Arts,Total,37881,linear fit on 3 years (2019-22),-2658.0,2021-22,49817,4,-24.0
2024-25,enrolment,Fisheries Science,Female,3734,linear fit on 3 years (2019-22),160.5,2021-22,2968,3,25.8
2025-26,enrolment,Fisheries Science,Female,3894,linear fit on 3 years (2019-22),160.5,2021-22,2968,4,31.2
2024-25,enrolment,Fisheries Science,Male,4680,linear fit on 3 years (2019-22),305.5,2021-22,3474,3,34.7
2025-26,enrolment,Fisheries Science,Male,4986,linear fit on 3 years (2019-22),305.5,2021-22,3474,4,43.5
2024-25,enrolment,Fisheries Science,Total,8414,linear fit on 3 years (2019-22),466.0,2021-22,6442,3,30.6
2025-26,enrolment,Fisheries Science,Total,8880,linear fit on 3 years (2019-22),466.0,2021-22,6442,4,37.8
2024-25,enrolment,Footwear  Design,Female,2246,linear fit on 3 years (2019-22),293.0,2021-22,1353,3,66.0
2025-26,enrolment,Footwear  Design,Female,2539,linear fit on 3 years (2019-22),293.0,2021-22,1353,4,87.7
2024-25,enrolment,Footwear  Design,Male,1550,linear fit on 3 years (2019-22),182.0,2021-22,1007,3,53.9
