aishe_year,metric,discipline,gender,value
2019-20,enrolment,Arts,Male,4547708
2019-20,enrolment,Arts,Female,5107878
2019-20,enrolment,Arts,Total,9655586
2019-20,enrolment,Science,Male,2295673
2019-20,enrolment,Science,Female,2459711
2019-20,enrolment,Science,Total,4755384
2019-20,enrolment,Commerce,Male,2132311
2019-20,enrolment,Commerce,Female,2030817
2019-20,enrolment,Commerce,Total,4163128
2019-20,enrolment,Engineering & Technology,Male,2638085
2019-20,enrolment,Engineering & Technology,Female,1089100
2019-20,enrolment,Engineering & Technology,Total,3727185
2019-20,enrolment,Education,Male,580307
2019-20,enrolment,Education,Female,1046458
2019-20,enrolment,Education,Total,1626765
2019-20,enrolment,Medical Science,Male,547516
2019-20,enrolment,Medical Science,Female,804602
2019-20,enrolment,Medical Science,Total,1352118
2019-20,enrolment,Social Science,Male,468002
2019-20,enrolment,Social Science,Female,516038
2019-20,enrolment,Social Science,Total,984040
2019-20,enrolment,IT & Computer,Male,459381
2019-20,enrolment,IT & Computer,Female,307865
2019-20,enrolment,IT & Computer,Total,767246
2019-20,enrolment,Management,Male,446139
2019-20,enrolment,Management,Female,267273
2019-20,enrolment,Management,Total,713412
2019-20,enrolment,Law,Male,287246
2019-20,enrolment,Law,Female,145698
2019-20,enrolment,Law,Total,432944
2019-20,enrolment,Indian Language,Male,116632
2019-20,enrolment,Indian Language,Female,207696
2019-20,enrolment,Indian Language,Total,324328
2019-20,enrolment,Agriculture,Male,191514
2019-20,enrolment,Agriculture,Female,78309
2019-20,enrolment,Agriculture,Total,269823
2019-20,enrolment,Foreign Language,Male,71352
2019-20,enrolment,Foreign Language,Female,89881
2019-20,enrolment,Foreign Language,Total,161233
2019-20,enrolment,Home Science,Male,9755
2019-20,enrolment,Home Science,Female,67281
2019-20,enrolment,Home Science,Total,77036
2019-20,enrolment,Oriental Learning,Male,37223
2019-20,enrolment,Oriental Learning,Female,28218
2019-20,enrolment,Oriental Learning,Total,65441
2019-20,enrolment,Area Studies,Male,31110
2019-20,enrolment,Area Studies,Female,33716
2019-20,enrolment,Area Studies,Total,64826
2019-20,enrolment,Social Work,Male,27309
2019-20,enrolment,Social Work,Female,29809
2019-20,enrolment,Social Work,Total,57118
2019-20,enrolment,Physical Education,Male,39244
2019-20,enrolment,Physical Education,Female,16604
2019-20,enrolment,Physical Education,Total,55848
2019-20,enrolment,Fine Arts,Male,27249
2019-20,enrolment,Fine Arts,Female,27884
