inst_type,institute_name,state,nirf_id,top_200_nirf,placement_rate_pct,median_salary_lakh,expected_salary_lakh,source_link,year_updated
IIIT,Indian Institute Of Information Technology Allahabad,Uttar Pradesh,IR-E-U-0516,Yes,100.0,28.0,28.0,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0516.pdf,2023.0
IIIT,Atal Bihari Vajpayee Indian Institute Of Information Technology And Management Gwalior,Madhya Pradesh,IR-E-U-0267,Yes,100.0,20.0,20.0,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0267.pdf,2023.0
IIIT,Pandhi Dwarka Prasad Mishra Indian Institute Of Information Technology And Manufacturing Jabalpur,Madhya Pradesh,IR-E-U-0286,Yes,95.8,11.0,10.54,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0286.pdf,2023.0
IIIT,Indian Institute Of Information Technology Design And Manufacturing Kancheepuram,Tamil Nadu,IR-E-U-0455,Yes,94.2,10.16,9.57,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0455.pdf,2023.0
IIIT,Indian Institute Of Information Technology Design And Manufacturing Kurnool,Andhra Pradesh,IR-E-U-0863,No,94.2,10.16,9.57,https://old.iiitdm.ac.in/img/Others/nirf/NIRF_2023.pdf,2023.0
IIIT,Indian Institute Of Information Technology Kottayam,Kerala,,No,93.2,9.0,8.38,https://www.iiitkottayam.ac.in/data/pdf/IIITK_nirf2025_engineering.pdf,
IIIT,Indian Institute Of Information Technology Guwahati,Assam,IR-E-U-0795,Yes,91.8,14.0,12.85,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0795.pdf,2023.0
IIIT,Indian Institute Of Information Technology Ranchi,Jharkhand,IR-E-U-0840,No,88.8,13.32,11.83,https://iiitranchi.ac.in/placement_records.aspx#,
IIIT,Indian Institute Of Information Technology Nagpur,Maharashtra,,No,87.0,10.0,8.7,https://iiitn.ac.in/Downloads/NIRF/2024/Engineering_INDIAN%20INSTITUTE%20OF%20INFORMATION%20TECHNOLOGY%2C%20NAGPUR20240126-.pdf,
IIIT,Indian Institute Of Information Technology Pune,Maharashtra,,No,86.2,11.0,9.49,https://www.iiitp.ac.in/sites/default/files/2025-02/INDIAN%20INSTITUTE%20OF%20INFORMATION%20TECHNOLOGY%2C%20PUNE20250214-Engineering.pdf,
IIIT,Indian Institute Of Information Technology Kota,Rajasthan,IR-E-U-0799,No,83.0,12.47,10.35,https://tpcell.iiitkota.ac.in/,
IIIT,Indian Institute Of Information Technology Una,Himachal Pradesh,,No,81.9,7.8,6.39,https://iiitu.ac.in/assets/nirf_eng_2025-CdURfKA9.pdf,
IIIT,Indian Institute Of Information Technology Kalyani,West Bengal,,No,80.9,12.0,9.71,"https://iiitkalyani.ac.in/php/images/2025/INDIAN%20INSTITUTE%20OF%20INFORMATION%20TECHNOLOGY,%20KALYANI20250110-.pdf",
IIIT,Indian Institute Of Information Technology Sonipat,Haryana,IR-E-U-0800,No,78.8,8.6,6.78,https://iiitsonepat.ac.in/placements,
IIIT,Indian Institute Of Information Technology Dharwad,Karnataka,,No,77.0,7.5,5.78,https://iiitdwd.ac.in/docs/NIRF_Engineering_Report_2023.pdf,
IIIT,Indian Institute Of Information Technology Senapati,Manipur,IR-E-U-0770,No,76.2,6.0,4.57,http://iiitmanipur.ac.in/pages/centerTnP/tnpStatus.php,
IIIT,Indian Institute Of Information Technology Surat,Gujarat,,No,72.6,15.0,10.89,https://www.iiitsurat.ac.in/nirf.php?acadid=bmlyZl9lbmdpbmVlcmluZw==,
IIIT,Indian Institute Of Information Technology Lucknow,Uttar Pradesh,IR-E-U-0801,No,,,0.0,Data not available,
IIIT,Indian Institute Of Information Technology Bhagalpur,Bihar,IR-E-U-0953,No,,,0.0,Data not available,
IIIT,Indian Institute Of Information Technology Vadodara,Gujarat,,No,,,0.0,Data not available,
IIIT,Indian Institute Of Information Technology Bhopal,Madhya Pradesh,,No,,,0.0,Data not available,
IIIT,Indian Institute Of Information Technology Dharwad,Karnataka,,,,,,,
IIIT,Indian Institute Of Information Technology Sri City,Andhra Pradesh,,No,,,0.0,Data not available,
IIIT,Indian Institute Of Information Technology Tiruchirappalli,Tamil Nadu,,No,,,0.0,Data not available,
IIIT,Indian Institute Of Information Technology Agartala,Tripura,,No,,,0.0,Data not available,
