year,state,board,social_category,stream,gender,students_passed
2020,Central,"Central Board of Secondary Education,",All Categories,All Streams,Boys,623877
2020,Central,"Central Board of Secondary Education,",All Categories,All Streams,Girls,502405
2020,Central,"Central Board of Secondary Education,",All Categories,All Streams,Total,1126282
2020,Central,Council for the Indian School Certificate,All Categories,All Streams,Boys,45960
2020,Central,Council for the Indian School Certificate,All Categories,All Streams,Girls,40430
2020,Central,Council for the Indian School Certificate,All Categories,All Streams,Total,86390
2020,Central,Council for the Indian School Certificate,All Categories,Arts,Boys,3422
2020,Central,Council for the Indian School Certificate,All Categories,Arts,Girls,6955
2020,Central,Council for the Indian School Certificate,All Categories,Arts,Total,10377
2020,Central,Council for the Indian School Certificate,All Categories,Commerce,Boys,17175
2020,Central,Council for the Indian School Certificate,All Categories,Commerce,Girls,15657
2020,Central,Council for the Indian School Certificate,All Categories,Commerce,Total,32832
2020,Central,Council for the Indian School Certificate,All Categories,Science,Boys,25363
2020,Central,Council for the Indian School Certificate,All Categories,Science,Girls,17818
2020,Central,Council for the Indian School Certificate,All Categories,Science,Total,43181
2020,Andhra,"Board of Intermediate Education,",All Categories,All Streams,Boys,256212
2020,Andhra,"Board of Intermediate Education,",All Categories,All Streams,Girls,257364
2020,Andhra,"Board of Intermediate Education,",All Categories,All Streams,Total,513576
2020,Andhra,"Board of Intermediate Education,",All Categories,Arts,Boys,9253
2020,Andhra,"Board of Intermediate Education,",All Categories,Arts,Girls,9546
2020,Andhra,"Board of Intermediate Education,",All Categories,Arts,Total,18799
2020,Andhra,"Board of Intermediate Education,",All Categories,Commerce,Boys,50992
2020,Andhra,"Board of Intermediate Education,",All Categories,Commerce,Girls,47541
2020,Andhra,"Board of Intermediate Education,",All Categories,Commerce,Total,98533
2020,Andhra,"Board of Intermediate Education,",All Categories,Science,Boys,181861
2020,Andhra,"Board of Intermediate Education,",All Categories,Science,Girls,186243
2020,Andhra,"Board of Intermediate Education,",All Categories,Science,Total,368104
2020,Andhra,"Board of Intermediate Education,",All Categories,Vocational,Boys,14106
2020,Andhra,"Board of Intermediate Education,",All Categories,Vocational,Girls,14034
2020,Andhra,"Board of Intermediate Education,",All Categories,Vocational,Total,28140
2020,Assam,Assam Higher Secondary Education,All Categories,All Streams,Boys,92084
2020,Assam,Assam Higher Secondary Education,All Categories,All Streams,Girls,91157
2020,Assam,Assam Higher Secondary Education,All Categories,All Streams,Total,183241
2020,Assam,Assam Higher Secondary Education,All Categories,Arts,Boys,57342
2020,Assam,Assam Higher Secondary Education,All Categories,Arts,Girls,74559
2020,Assam,Assam Higher Secondary Education,All Categories,Arts,Total,131901
2020,Assam,Assam Higher Secondary Education,All Categories,Commerce,Boys,11436
2020,Assam,Assam Higher Secondary Education,All Categories,Commerce,Girls,4205
2020,Assam,Assam Higher Secondary Education,All Categories,Commerce,Total,15641
2020,Assam,Assam Higher Secondary Education,All Categories,Science,Boys,22772
2020,Assam,Assam Higher Secondary Education,All Categories,Science,Girls,12158
2020,Assam,Assam Higher Secondary Education,All Categories,Science,Total,34930
2020,Assam,Assam Higher Secondary Education,All Categories,Vocational,Boys,534
2020,Assam,Assam Higher Secondary Education,All Categories,Vocational,Girls,235
2020,Assam,Assam Higher Secondary Education,All Categories,Vocational,Total,769
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,All Streams,Boys,513024
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,All Streams,Girls,457799
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,All Streams,Total,970823
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,Arts,Boys,199791
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,Arts,Girls,314630
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,Arts,Total,514421
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,Commerce,Boys,43284
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,Commerce,Girls,22780
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,Commerce,Total,66064
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,Science,Boys,269709
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,Science,Girls,120254
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,Science,Total,389963
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,Vocational,Boys,240
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,Vocational,Girls,135
2020,Bihar,"Bihar School Examination Board, Patna",All Categories,Vocational,Total,375
2020,Bihar,"Bihar State Madarsa Education Board,",All Categories,All Streams,Boys,9190
2020,Bihar,"Bihar State Madarsa Education Board,",All Categories,All Streams,Girls,16067
2020,Bihar,"Bihar State Madarsa Education Board,",All Categories,All Streams,Total,25257
2020,Bihar,"Bihar State Madarsa Education Board,",All Categories,Arts,Boys,9190
2020,Bihar,"Bihar State Madarsa Education Board,",All Categories,Arts,Girls,16067
2020,Bihar,"Bihar State Madarsa Education Board,",All Categories,Arts,Total,25257
2020,Chhattisgarh,Chhattisgarh Board of Secondary,All Categories,All Streams,Boys,97090
2020,Chhattisgarh,Chhattisgarh Board of Secondary,All Categories,All Streams,Girls,120569
2020,Chhattisgarh,Chhattisgarh Board of Secondary,All Categories,All Streams,Total,217659
2020,Chhattisgarh,Chhattisgarh Board of Secondary,All Categories,Arts,Boys,39911
2020,Chhattisgarh,Chhattisgarh Board of Secondary,All Categories,Arts,Girls,49216
2020,Chhattisgarh,Chhattisgarh Board of Secondary,All Categories,Arts,Total,89127
2020,Chhattisgarh,Chhattisgarh Board of Secondary,All Categories,Commerce,Boys,17438
2020,Chhattisgarh,Chhattisgarh Board of Secondary,All Categories,Commerce,Girls,17000
2020,Chhattisgarh,Chhattisgarh Board of Secondary,All Categories,Commerce,Total,34438
2020,Chhattisgarh,Chhattisgarh Board of Secondary,All Categories,Science,Boys,39741
2020,Chhattisgarh,Chhattisgarh Board of Secondary,All Categories,Science,Girls,54353
2020,Chhattisgarh,Chhattisgarh Board of Secondary,All Categories,Science,Total,94094
2020,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",All Categories,All Streams,Boys,52
2020,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",All Categories,All Streams,Girls,34
2020,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",All Categories,All Streams,Total,86
2020,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",All Categories,Arts,Boys,37
2020,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",All Categories,Arts,Girls,28
2020,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",All Categories,Arts,Total,65
2020,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",All Categories,Commerce,Boys,6
2020,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",All Categories,Commerce,Girls,2
2020,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",All Categories,Commerce,Total,8
2020,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",All Categories,Science,Boys,9
2020,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",All Categories,Science,Girls,4
2020,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",All Categories,Science,Total,13
2020,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam,",All Categories,All Streams,Boys,376
2020,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam,",All Categories,All Streams,Girls,222
2020,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam,",All Categories,All Streams,Total,598
2020,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam,",All Categories,Arts,Boys,251
2020,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam,",All Categories,Arts,Girls,172
2020,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam,",All Categories,Arts,Total,423
2020,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam,",All Categories,Commerce,Boys,14
2020,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam,",All Categories,Commerce,Girls,4
2020,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam,",All Categories,Commerce,Total,18
2020,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam,",All Categories,Science,Boys,111
2020,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam,",All Categories,Science,Girls,46
2020,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam,",All Categories,Science,Total,157
2020,Goa,Goa Board of Secondary & Higher,All Categories,All Streams,Boys,7981
2020,Goa,Goa Board of Secondary & Higher,All Categories,All Streams,Girls,8767
2020,Goa,Goa Board of Secondary & Higher,All Categories,All Streams,Total,16748
2020,Goa,Goa Board of Secondary & Higher,All Categories,Arts,Boys,1072
2020,Goa,Goa Board of Secondary & Higher,All Categories,Arts,Girls,2923
2020,Goa,Goa Board of Secondary & Higher,All Categories,Arts,Total,3995
2020,Goa,Goa Board of Secondary & Higher,All Categories,Commerce,Boys,2768
2020,Goa,Goa Board of Secondary & Higher,All Categories,Commerce,Girls,2497
2020,Goa,Goa Board of Secondary & Higher,All Categories,Commerce,Total,5265
2020,Goa,Goa Board of Secondary & Higher,All Categories,Science,Boys,2199
2020,Goa,Goa Board of Secondary & Higher,All Categories,Science,Girls,2554
2020,Goa,Goa Board of Secondary & Higher,All Categories,Science,Total,4753
2020,Goa,Goa Board of Secondary & Higher,All Categories,Vocational,Boys,1942
2020,Goa,Goa Board of Secondary & Higher,All Categories,Vocational,Girls,793
2020,Goa,Goa Board of Secondary & Higher,All Categories,Vocational,Total,2735
2020,Gujarat,Gujarat Secondary & Higher Secondary,All Categories,All Streams,Boys,213274
2020,Gujarat,Gujarat Secondary & Higher Secondary,All Categories,All Streams,Girls,200013
2020,Gujarat,Gujarat Secondary & Higher Secondary,All Categories,All Streams,Total,413287
