year,level,state,board,gender,registered,appeared,passed_annual_and_supp,pass_percentage
2020,Class X,Central,"Central Board of Secondary Education, New Delhi",Boys,,1112826,1042110,93.65
2020,Class X,Central,"Central Board of Secondary Education, New Delhi",Girls,,791977,761881,96.2
2020,Class X,Central,"Central Board of Secondary Education, New Delhi",Total,,1904803,1803991,94.71
2020,Class X,Central,"Council for the Indian School Certificate Examinations, New Delhi",Boys,,112667,111686,99.13
2020,Class X,Central,"Council for the Indian School Certificate Examinations, New Delhi",Girls,,95236,94950,99.7
2020,Class X,Central,"Council for the Indian School Certificate Examinations, New Delhi",Total,,207903,206636,99.39
2020,Class X,Andhra Pradesh,"Andhra Pradesh, Board of Secondary Education",Boys,,326749,326749,100.0
2020,Class X,Andhra Pradesh,"Andhra Pradesh, Board of Secondary Education",Girls,,310600,310600,100.0
2020,Class X,Andhra Pradesh,"Andhra Pradesh, Board of Secondary Education",Total,,637349,637349,100.0
2020,Class X,Assam,Assam Board of Secondary Education,Boys,,160793,107632,66.94
2020,Class X,Assam,Assam Board of Secondary Education,Girls,,181431,114152,62.92
2020,Class X,Assam,Assam Board of Secondary Education,Total,,342224,221784,64.81
2020,Class X,Assam,"State Madarsa Education Board, Assam",Boys,,734,524,71.39
2020,Class X,Assam,"State Madarsa Education Board, Assam",Girls,,395,323,81.77
2020,Class X,Assam,"State Madarsa Education Board, Assam",Total,,1129,847,75.02
2020,Class X,Bihar,"Bihar School Examination Board, Patna",Boys,,673872,611714,90.78
2020,Class X,Bihar,"Bihar School Examination Board, Patna",Girls,,691927,604450,87.36
2020,Class X,Bihar,"Bihar School Examination Board, Patna",Total,,1365799,1216164,89.04
2020,Class X,Bihar,"Bihar State Madarsa Education Board, Vidyapati Marg, Patna",Boys,,24918,21822,87.58
2020,Class X,Bihar,"Bihar State Madarsa Education Board, Vidyapati Marg, Patna",Girls,,45410,42611,93.84
2020,Class X,Bihar,"Bihar State Madarsa Education Board, Vidyapati Marg, Patna",Total,,70328,64433,91.62
2020,Class X,Bihar,Bihar Sanskrit Shiksha Board Patna,Boys,,8236,8122,98.62
2020,Class X,Bihar,Bihar Sanskrit Shiksha Board Patna,Girls,,8859,8859,100.0
2020,Class X,Bihar,Bihar Sanskrit Shiksha Board Patna,Total,,17095,16981,99.33
2020,Class X,Chhattisgarh,Chhattisgarh Board of Secondary Education,Boys,,177983,125565,70.55
2020,Class X,Chhattisgarh,Chhattisgarh Board of Secondary Education,Girls,,206622,157664,76.31
2020,Class X,Chhattisgarh,Chhattisgarh Board of Secondary Education,Total,,384605,283229,73.64
2020,Class X,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",Boys,,90,81,90.0
2020,Class X,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",Girls,,37,35,94.59
2020,Class X,Chhattisgarh,"Chhattisgarh Madarsa Board, Raipur",Total,,127,116,91.34
2020,Class X,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam, Raipur",Boys,,545,533,97.8
2020,Class X,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam, Raipur",Girls,,346,346,100.0
2020,Class X,Chhattisgarh,"Chhattisgarh Sanskrit VidyaMandalam, Raipur",Total,,891,879,98.65
2020,Class X,Goa,Goa Board of Secondary & Higher Secondary Education,Boys,,9786,9100,92.99
2020,Class X,Goa,Goa Board of Secondary & Higher Secondary Education,Girls,,9896,9418,95.17
2020,Class X,Goa,Goa Board of Secondary & Higher Secondary Education,Total,,19682,18518,94.09
2020,Class X,Gujarat,Gujarat Secondary & Higher Secondary Education Board,Boys,,454325,255843,56.31
