grade,subject,dimension,category,pct_correct_mean,pct_proficient_advanced,pct_basic_below_basic
3,evs,management,State Govt,58.79,46.86,53.14
3,evs,management,Govt Aided,55.22,41.27,58.73
3,evs,management,Private Recognised,56.99,41.94,58.06
3,evs,management,Central Govt,51.96,33.69,66.31
3,language,management,State Govt,62.85,40.09,59.91
3,language,management,Govt Aided,59.09,35.88,64.12
3,language,management,Private Recognised,61.98,39.3,60.7
3,language,management,Central Govt,56.18,30.1,69.9
3,math,management,State Govt,57.9,44.4,55.6
3,math,management,Govt Aided,53.88,38.63,61.37
3,math,management,Private Recognised,56.62,40.81,59.19
3,math,management,Central Govt,51.53,31.17,68.83
3,evs,location,Rural,57.62,44.4,55.6
3,evs,location,Urban,55.94,40.79,59.21
3,language,location,Rural,61.82,38.67,61.33
3,language,location,Urban,60.56,37.39,62.61
3,math,location,Rural,57.08,42.84,57.16
3,math,location,Urban,55.1,38.44,61.56
5,evs,management,State Govt,49.65,35.89,64.11
5,evs,management,Govt Aided,44.52,25.67,74.33
5,evs,management,Private Recognised,48.9,30.66,69.34
5,evs,management,Central Govt,47.98,30.52,69.48
5,language,management,State Govt,54.67,40.72,59.28
5,language,management,Govt Aided,51.31,35.02,64.98
5,language,management,Private Recognised,57.46,45.19,54.81
5,language,management,Central Govt,55.14,41.96,58.04
5,math,management,State Govt,45.12,28.5,71.5
5,math,management,Govt Aided,39.61,19.31,80.69
5,math,management,Private Recognised,43.63,22.75,77.25
5,math,management,Central Govt,43.82,23.47,76.53
5,evs,location,Rural,48.41,32.54,67.46
5,evs,location,Urban,48.13,30.24,69.76
5,language,location,Rural,54.41,40.15,59.85
5,language,location,Urban,56.02,43.04,56.96
5,math,location,Rural,43.94,25.62,74.38
5,math,location,Urban,42.89,22.39,77.61
8,language,management,State Govt,47.85,24.75,75.25
8,language,management,Govt Aided,47.16,23.21,76.79
8,language,management,Private Recognised,61.2,48.51,51.49
8,language,management,Central Govt,58.98,43.96,56.04
8,math,management,State Govt,35.78,27.0,73.0
8,math,management,Govt Aided,31.58,17.6,82.4
8,math,management,Private Recognised,38.41,30.64,69.36
8,math,management,Central Govt,38.51,31.3,68.7
8,sci,management,State Govt,37.59,24.3,75.7
8,sci,management,Govt Aided,34.77,16.99,83.01
8,sci,management,Private Recognised,43.78,37.1,62.9
8,sci,management,Central Govt,43.43,36.82,63.18
8,sst,management,State Govt,38.85,20.71,79.29
8,sst,management,Govt Aided,35.77,12.99,87.01
8,sst,management,Private Recognised,41.96,23.35,76.65
8,sst,management,Central Govt,40.08,20.59,79.41
8,language,location,Rural,50.36,29.04,70.96
8,language,location,Urban,58.37,43.24,56.76
8,math,location,Rural,35.72,26.67,73.33
8,math,location,Urban,36.72,26.73,73.27
8,sci,location,Rural,38.3,25.58,74.42
8,sci,location,Urban,41.93,32.7,67.3
8,sst,location,Rural,38.87,19.62,80.38
8,sst,location,Urban,40.38,20.57,79.43
10,eng,management,State Govt,38.56,52.47,47.53
10,eng,management,Govt Aided,37.9,51.81,48.19
10,eng,management,Private Recognised,53.04,74.78,25.22
10,eng,management,Central Govt,54.53,76.3,23.7
10,math,management,State Govt,31.13,19.93,80.07
10,math,management,Govt Aided,29.07,14.78,85.22
10,math,management,Private Recognised,33.78,26.2,73.8
10,math,management,Central Govt,36.08,33.72,66.28
10,mil,management,State Govt,38.49,7.02,92.98
10,mil,management,Govt Aided,38.48,6.0,94.0
10,mil,management,Private Recognised,42.53,12.54,87.46
10,mil,management,Central Govt,44.26,17.9,82.1
10,sci,management,State Govt,33.17,6.42,93.58
10,sci,management,Govt Aided,31.8,2.8,97.2
10,sci,management,Private Recognised,38.39,13.68,86.32
10,sci,management,Central Govt,40.54,18.93,81.07
10,sst,management,State Govt,35.08,10.41,89.59
10,sst,management,Govt Aided,33.81,6.75,93.25
10,sst,management,Private Recognised,41.6,23.68,76.32
10,sst,management,Central Govt,44.22,29.36,70.64
10,eng,location,Rural,40.69,55.65,44.35
10,eng,location,Urban,50.49,71.76,28.24
10,math,location,Rural,31.43,20.91,79.09
10,math,location,Urban,32.79,23.6,76.4
10,mil,location,Rural,39.29,7.92,92.08
10,mil,location,Urban,42.54,12.39,87.61
10,sci,location,Rural,33.88,6.93,93.07
10,sci,location,Urban,37.24,11.92,88.08
10,sst,location,Rural,36.04,12.16,87.84
10,sst,location,Urban,40.27,20.43,79.57
