ranking_category,nirf_rank,institute_name,state,city,overall_score,academic_year,type,first_year_intake,graduating_on_time,students_placed,median_salary
Agriculture and Allied Sectors,1,Indian Agricultural Research Institute,Delhi,New Delhi,89.23,2023-24,PG [2 Year Program(s)],,236.0,27.0,696000.0
Agriculture and Allied Sectors,1,Indian Agricultural Research Institute,Delhi,New Delhi,89.23,2023-24,UG [4 Years Program(s)],,0.0,0.0,0.0
Agriculture and Allied Sectors,2,ICAR - National Dairy Research Institute,Haryana,Karnal,75.87,2023-24,PG [2 Year Program(s)],,129.0,82.0,820000.0
Agriculture and Allied Sectors,2,ICAR - National Dairy Research Institute,Haryana,Karnal,75.87,2023-24,UG [4 Years Program(s)],,49.0,37.0,750000.0
Agriculture and Allied Sectors,3,"Punjab Agricultural University, Ludhiana",Punjab,Ludhiana,75.83,2023-24,PG [2 Year Program(s)],,273.0,135.0,480000.0
Agriculture and Allied Sectors,3,"Punjab Agricultural University, Ludhiana",Punjab,Ludhiana,75.83,2023-24,UG [4 Years Program(s)],,290.0,81.0,480000.0
Agriculture and Allied Sectors,4,Banaras Hindu University,Uttar Pradesh,Varanasi,68.95,2023-24,UG [4 Years Program(s)],,189.0,29.0,500000.0
Agriculture and Allied Sectors,4,Banaras Hindu University,Uttar Pradesh,Varanasi,68.95,2023-24,UG [5 Years Program(s)],,43.0,0.0,0.0
Agriculture and Allied Sectors,5,"Indian Veterinary Research Institute, Izatnagar",Uttar Pradesh,Bareilly,67.66,2023-24,PG [2 Year Program(s)],,111.0,43.0,1043460.0
Agriculture and Allied Sectors,5,"Indian Veterinary Research Institute, Izatnagar",Uttar Pradesh,Bareilly,67.66,2023-24,UG [4 Years Program(s)],,0.0,0.0,0.0
Agriculture and Allied Sectors,6,Tamil Nadu Agricultural University,Tamil Nadu,Coimbatore,67.06,2023-24,PG [2 Year Program(s)],,381.0,194.0,620000.0
Agriculture and Allied Sectors,6,Tamil Nadu Agricultural University,Tamil Nadu,Coimbatore,67.06,2023-24,UG [4 Years Program(s)],,1381.0,335.0,450000.0
Agriculture and Allied Sectors,7,"Sher-e-Kashmir University of Agricultural Science & Technology of Kashmir, Srinagar",Jammu and Kashmir,Srinagar,65.81,2023-24,PG [2 Year Program(s)],,422.0,246.0,684000.0
Agriculture and Allied Sectors,7,"Sher-e-Kashmir University of Agricultural Science & Technology of Kashmir, Srinagar",Jammu and Kashmir,Srinagar,65.81,2023-24,UG [4 Years Program(s)],,599.0,201.0,648000.0
Agriculture and Allied Sectors,8,"Central Institute of Fisheries Education, Fisheries University",Maharashtra,Mumbai,63.92,2023-24,PG [2 Year Program(s)],,96.0,45.0,400000.0
Agriculture and Allied Sectors,9,"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",Uttarakhand,Pantnagar,61.56,2023-24,PG [2 Year Program(s)],,258.0,205.0,750000.0
Agriculture and Allied Sectors,9,"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",Uttarakhand,Pantnagar,61.56,2023-24,UG [4 Years Program(s)],,715.0,458.0,560000.0
Agriculture and Allied Sectors,9,"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",Uttarakhand,Pantnagar,61.56,2023-24,UG [5 Years Program(s)],,63.0,25.0,700000.0
Agriculture and Allied Sectors,10,Chaudhary Charan Singh Haryana Agricultural University,Haryana,Hisar,61.47,2023-24,PG [2 Year Program(s)],,185.0,88.0,500000.0
Agriculture and Allied Sectors,10,Chaudhary Charan Singh Haryana Agricultural University,Haryana,Hisar,61.47,2023-24,UG [4 Years Program(s)],,223.0,48.0,400000.0
Agriculture and Allied Sectors,11,"University of Agricultural Sciences, Bangalore",Karnataka,Bengaluru,60.35,2023-24,PG [2 Year Program(s)],,666.0,248.0,1640000.0
Agriculture and Allied Sectors,11,"University of Agricultural Sciences, Bangalore",Karnataka,Bengaluru,60.35,2023-24,UG [4 Years Program(s)],,1764.0,294.0,1250000.0
Agriculture and Allied Sectors,12,"Kerala Agricultural University, Thrissur",Kerala,Thrissur,60.0,2023-24,PG [2 Year Program(s)],,294.0,202.0,650000.0
Agriculture and Allied Sectors,12,"Kerala Agricultural University, Thrissur",Kerala,Thrissur,60.0,2023-24,UG [4 Years Program(s)],,651.0,163.0,450000.0
Agriculture and Allied Sectors,12,"Kerala Agricultural University, Thrissur",Kerala,Thrissur,60.0,2023-24,UG [5 Years Program(s)],,26.0,11.0,480000.0
Agriculture and Allied Sectors,13,"National Institute of Food Technology, Entrepreneurship and Management - Thanjavur (NIFTEM - Thanjavur)",Tamil Nadu,Thanjavur,58.76,2023-24,PG [2 Year Program(s)],,23.0,21.0,460000.0
Agriculture and Allied Sectors,13,"National Institute of Food Technology, Entrepreneurship and Management - Thanjavur (NIFTEM - Thanjavur)",Tamil Nadu,Thanjavur,58.76,2023-24,UG [4 Years Program(s)],,57.0,38.0,365000.0
Agriculture and Allied Sectors,14,"Dr Rajendra Prasad Central Agricultural University, Samastipur",Bihar,Samastipur,58.25,2023-24,PG [2 Year Program(s)],,232.0,117.0,720000.0
Agriculture and Allied Sectors,14,"Dr Rajendra Prasad Central Agricultural University, Samastipur",Bihar,Samastipur,58.25,2023-24,UG [4 Years Program(s)],,291.0,84.0,650000.0
Agriculture and Allied Sectors,15,Amity University,Uttar Pradesh,Gautam Budh Nagar,58.14,2023-24,PG [2 Year Program(s)],,77.0,45.0,300000.0
Agriculture and Allied Sectors,15,Amity University,Uttar Pradesh,Gautam Budh Nagar,58.14,2023-24,UG [4 Years Program(s)],,98.0,35.0,300000.0
Agriculture and Allied Sectors,16,Bidhan Chandra Krishi Vishwavidyalaya,West Bengal,Nadia,57.64,2023-24,PG [2 Year Program(s)],,123.0,58.0,695000.0
